name,subtext,price,desc,stock
Hapkin - 2L SUB Keg,Blond Beer | 8.5% | 2 Litres,£ 14.99,"Blonde, slightly cloudy beer with a very generous white head. Sweet aromas give this beer real body and its aftertaste is deeply sweet and alcoholic.",In-Stock
Birra Moretti L'Autentica - 2L SUB Keg,Lager | 4.6% | 2 Litres,£ 8.99,This light coloured beer has a soft taste. You can taste malt and hops. Is sticks a little bit at your tongue. The aftertaste is soft and bitter.,In-Stock
Affligem Dubbel - 2L SUB Keg,Dubbel Beer | 6.8% | 2 Litres,£ 11.99,"A reddish-brown Abbey beer, clear with a creamy head. Its toasted malt and caramel aromas give it a full, well-rounded flavour and the unique, spicy character provides more depth.",Out-Of-Stock
Two Chefs Brewing Happy Howling - 2L SUB Keg,Pale Ale | 5.4% | 2 Litres,£ 15.99,"A very crips pale ale, the hops give the beer a lot of citrus aroma's, passionfruit and melon. The mouth feel of the beer is round and full because of the use of oats.",In-Stock
Brand Up - 2L SUB Keg,Pilsner & Hoppy Lager | 5.5% | 2 Litres,£ 8.99,"Malty aromas with the sturdy bitterness of hops make this traditional Pilsner taste the way it should. Soft round sweetness, distinctive bitterness and a fresh finish.",In-Stock
Pelforth Blonde - 2L SUB Keg,Lager | 5.8% | 2 Litres,£ 9.49,"Pelforth Blonde is a bottom-fermented beer, unchanged recipe since its creation in Lille's Pelican Brewery, in 1921. Subtle taste with a fruity touch and round finish.",In-Stock
Affligem Blond - 2L SUB Keg,Blond Beer | 6.8% | 2 Litres,£ 9.99,"Amber, golden and clear, with a large, firm white head. Its sweet, fruity aromas make this the king of the Abbey beers. This Tripel has the perfect balance between a solid body and a refreshing flavour.",In-Stock
Brixton Low Voltage - 2L SUB Keg,IPA | 4.3% | 2 Litres,£ 15.99,"An excellent example of an IPA: Hoppy, light and flavourful. The aromas of tropical fruits burst out the glass. The taste has a sweetness with a long and bitter finish.",Out-Of-Stock
Amstel - 2L SUB Keg,Lager | 5.0% | 2 Litres,£ 8.49,"100% barley malt lager, since 1870. Clear, golden yellow beer with an accessible taste. Sweet with a floral touch and slightly bitter aftertaste. Perfect for sharing with friends.",In-Stock
Gösser Zwickl - 2L SUB Keg,Lager | 5.2% | 2 Litres,£ 9.49,"Austrian Zwickl or Kellerbier, unfiltered and therefore naturally cloudy. Brewed with four different types of malt and Celeia-aroma hop from Leutschach in Styria, Austria. Soft in character with a fruity touch.",In-Stock
St. Feuillien Blond - 2L SUB Keg,Blond Beer | 7.0% | 2 Litres,£ 15.99,A powerful and full bodied beer with a golden colour and a big white fluffy head. Spicy aroma’s and tones of citrusfruit. The hops give an medium bitterness. A beer with a warm character for almost every part of the day.,In-Stock
Paulaner Weissbier - 2L SUB Keg,German Wheat Beer | 5.5% | 2 Litres,£ 12.49,"This Weissbier is a fresh, fruity beer garden classic – naturally cloudy, shining silky golden under a fluffy white foam crown. Soft, sparkling and medium-bodied, featuring fruity banana notes and hints of mango and pineapple. Fine yeast aroma in the aftertaste.",In-Stock
Strongbow Dark Fruit - 2L SUB Keg,Cider | 4.0% | 2 Litres,£ 9.99,Refreshing and crisp apple cider combined with a blend of blackcurrant and blackberry flavours. A thirst-quenching favourite at only 4% ABV. Gluten is removed during the brewing process - each batch is tested to below 20ppm.,In-Stock
Brand Weizen - 2L SUB Keg,German Wheat Beer | 5.1% | 2 Litres,£ 9.49,"Golden, slightly cloudy with a beautiful, sticky head. Ripe fruit such as banana and apricot take the reins here. The aftertaste is very gentle, somewhat fresh and above all well rounded.",In-Stock
Gallia West IPA - 2L SUB Keg,IPA | 6.0% | 2 Litres,£ 15.49,"Refreshing and easy going West Coast IPA. Lots of fruity aromas of stonefruit, most peach. Round, soft bitterness in the end.",In-Stock
Lagunitas Hazy Wonder - 2L SUB Keg,IPA | 6.0% | 2 Litres,£ 14.49,"This fascinating ferment is full of fabulous Sabro, Citra, Cashmere and Comet hops for a smooth, tropical fruitiness. A slightly bitter, densely hazy phenomenon that's strangely light in mouthfeel, keeping you satiated and still coming back for more.",In-Stock
Cruzcampo Especial - 2L SUB Keg,Lager | 5.6% | 2 Litres,£ 9.49,"Slightly fuller lager from Spain with a refreshing, smooth taste. Slightly fruity and floral note from the hops and yeast. Light in color with a medium bitterness.",In-Stock
Birra Moretti La Rossa - 2L SUB Keg,Bock Beer | 7.2% | 2 Litres,£ 9.99,"Italian Bock, which is called ""Doppio Malto"". Malt plays the leading role in this full-bodied beer. It gives tones of caramel, toast, chocolate and fresh bread crust. Quite sweet in taste with a slightly dry, medium bitter finish.",In-Stock
La Chouffe Blonde D'ardenne - 2L SUB Keg,Blond Beer | 8.0% | 2 Litres,£ 18.99,"Golden beer that is slightly hazy with a robust head, featuring a spicy aroma with lots of citrus and coriander, which are also present in the taste.",In-Stock
